Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_93_551,VPWR,li1,259.4400,263.8400,1.799988
FILLER_93_548,VPWR,li1,258.2900,263.8400,1.799988
FILLER_93_545,VPWR,li1,256.9100,263.8400,1.799988
FILLER_93_542,VPWR,li1,255.5300,263.8400,1.799988
FILLER_93_539,VPWR,li1,254.1500,263.8400,1.799988
FILLER_93_536,VPWR,li1,252.7700,263.8400,1.799988
FILLER_93_533,VPWR,li1,251.3900,263.8400,1.799988
FILLER_93_529,VPWR,li1,249.5500,263.8400,1.799988
FILLER_93_526,VPWR,li1,248.1700,263.8400,1.799988
FILLER_93_523,VPWR,li1,246.7900,263.8400,1.799988
FILLER_93_520,VPWR,li1,245.4100,263.8400,1.799988
FILLER_93_517,VPWR,li1,244.0300,263.8400,1.799988
FILLER_93_514,VPWR,li1,242.6500,263.8400,1.799988
FILLER_93_511,VPWR,li1,241.2700,263.8400,1.799988
FILLER_93_508,VPWR,li1,239.8900,263.8400,1.799988
FILLER_93_505,VPWR,li1,238.5100,263.8400,1.799988
FILLER_93_501,VPWR,li1,236.6700,263.8400,1.799988
FILLER_93_498,VPWR,li1,235.2900,263.8400,1.799988
FILLER_93_495,VPWR,li1,233.9100,263.8400,1.799988
FILLER_93_492,VPWR,li1,232.5300,263.8400,1.799988
FILLER_93_489,VPWR,li1,231.1500,263.8400,1.799988
FILLER_93_486,VPWR,li1,229.7700,263.8400,1.799988
FILLER_93_483,VPWR,li1,228.3900,263.8400,1.799989
FILLER_93_480,VPWR,li1,227.0100,263.8400,1.799989
FILLER_93_477,VPWR,li1,225.6300,263.8400,1.799989
FILLER_93_473,VPWR,li1,223.7900,263.8400,1.799989
FILLER_93_470,VPWR,li1,222.4100,263.8400,1.799989
FILLER_93_467,VPWR,li1,221.0300,263.8400,1.799989
FILLER_93_464,VPWR,li1,219.6500,263.8400,1.799989
FILLER_93_461,VPWR,li1,218.2700,263.8400,1.799989
FILLER_93_458,VPWR,li1,216.8900,263.8400,1.799989
FILLER_93_455,VPWR,li1,215.5100,263.8400,1.799989
FILLER_93_452,VPWR,li1,214.1300,263.8400,1.799989
FILLER_93_449,VPWR,li1,212.7500,263.8400,1.799989
FILLER_93_445,VPWR,li1,210.9100,263.8400,1.799989
FILLER_93_442,VPWR,li1,209.5300,263.8400,1.799989
FILLER_93_439,VPWR,li1,208.1500,263.8400,1.799989
FILLER_93_436,VPWR,li1,206.7700,263.8400,1.799989
FILLER_93_433,VPWR,li1,205.3900,263.8400,1.799990
FILLER_93_430,VPWR,li1,204.0100,263.8400,1.799990
FILLER_93_427,VPWR,li1,202.6300,263.8400,1.799990
FILLER_93_424,VPWR,li1,201.2500,263.8400,1.799990
FILLER_93_421,VPWR,li1,199.8700,263.8400,1.799990
FILLER_93_419,VPWR,li1,198.4900,263.8400,1.799990
FILLER_93_416,VPWR,li1,197.5700,263.8400,1.799990
FILLER_93_413,VPWR,li1,196.1900,263.8400,1.799990
FILLER_93_410,VPWR,li1,194.8100,263.8400,1.799990
FILLER_93_407,VPWR,li1,193.4300,263.8400,1.799990
FILLER_93_404,VPWR,li1,192.0500,263.8400,1.799991
FILLER_93_401,VPWR,li1,190.6700,263.8400,1.799991
FILLER_93_389,VPWR,li1,185.1500,263.8400,1.799991
FILLER_93_386,VPWR,li1,183.7700,263.8400,1.799991
FILLER_93_383,VPWR,li1,182.3900,263.8400,1.799991
FILLER_93_380,VPWR,li1,181.0100,263.8400,1.799992
FILLER_93_377,VPWR,li1,179.6300,263.8400,1.799992
FILLER_93_374,VPWR,li1,178.2500,263.8400,1.799992
FILLER_93_371,VPWR,li1,176.8700,263.8400,1.799992
FILLER_93_368,VPWR,li1,175.4900,263.8400,1.799992
FILLER_93_365,VPWR,li1,174.1100,263.8400,1.799991
FILLER_93_363,VPWR,li1,172.7300,263.8400,1.799991
FILLER_93_352,VPWR,li1,168.1300,263.8400,1.799989
FILLER_93_349,VPWR,li1,166.7500,263.8400,1.799987
FILLER_93_346,VPWR,li1,165.3700,263.8400,1.799987
FILLER_93_343,VPWR,li1,163.9900,263.8400,1.799986
FILLER_93_340,VPWR,li1,162.6100,263.8400,1.799986
FILLER_93_337,VPWR,li1,161.2300,263.8400,1.799985
FILLER_93_327,VPWR,li1,156.1700,263.8400,1.799983
FILLER_93_317,VPWR,li1,151.8000,263.8400,1.799980
FILLER_93_305,VPWR,li1,146.5100,263.8400,1.799979
FILLER_93_302,VPWR,li1,145.1300,263.8400,1.799978
FILLER_93_299,VPWR,li1,143.7500,263.8400,1.799977
FILLER_93_296,VPWR,li1,142.3700,263.8400,1.799977
FILLER_93_293,VPWR,li1,140.9900,263.8400,1.799976
FILLER_93_290,VPWR,li1,139.6100,263.8400,1.799976
FILLER_93_287,VPWR,li1,138.2300,263.8400,1.799976
FILLER_93_284,VPWR,li1,136.8500,263.8400,1.799975
FILLER_93_281,VPWR,li1,135.4700,263.8400,1.799974
FILLER_93_279,VPWR,li1,134.0900,263.8400,1.799974
FILLER_93_276,VPWR,li1,133.1700,263.8400,1.799973
FILLER_93_273,VPWR,li1,131.7900,263.8400,1.799973
FILLER_93_264,VPWR,li1,127.1900,263.8400,1.799971
FILLER_93_261,VPWR,li1,126.2700,263.8400,1.799971
FILLER_93_243,VPWR,li1,117.5300,263.8400,1.799969
FILLER_93_225,VPWR,li1,109.4800,263.8400,1.799967
FILLER_93_206,VPWR,li1,100.7400,263.8400,1.799965
FILLER_93_203,VPWR,li1,99.5900,263.8400,1.799965
FILLER_93_200,VPWR,li1,98.2100,263.8400,1.799965
FILLER_93_197,VPWR,li1,96.8300,263.8400,1.799965
FILLER_93_194,VPWR,li1,95.2200,263.8400,1.799964
FILLER_93_191,VPWR,li1,94.0700,263.8400,1.799964
FILLER_93_188,VPWR,li1,92.6900,263.8400,1.799964
FILLER_93_185,VPWR,li1,91.3100,263.8400,1.799964
FILLER_93_141,VPWR,li1,71.0700,263.8400,1.799963
FILLER_93_85,VPWR,li1,45.3100,263.8400,1.799973
FILLER_93_82,VPWR,li1,43.7000,263.8400,1.799974
FILLER_93_60,VPWR,li1,33.3500,263.8400,1.799981
FILLER_93_57,VPWR,li1,32.4300,263.8400,1.799982
FILLER_93_41,VPWR,li1,24.8400,263.8400,1.799989
FILLER_93_38,VPWR,li1,23.6900,263.8400,1.799989
FILLER_93_35,VPWR,li1,22.3100,263.8400,1.799990
FILLER_93_32,VPWR,li1,20.9300,263.8400,1.799990
FILLER_93_29,VPWR,li1,19.5500,263.8400,1.799990
FILLER_93_27,VPWR,li1,18.1700,263.8400,1.799990
FILLER_93_24,VPWR,li1,17.2500,263.8400,1.799990
FILLER_93_21,VPWR,li1,15.8700,263.8400,1.799990
FILLER_93_18,VPWR,li1,14.4900,263.8400,1.799990
FILLER_93_15,VPWR,li1,13.1100,263.8400,1.799990
FILLER_93_12,VPWR,li1,11.7300,263.8400,1.799990
FILLER_93_9,VPWR,li1,10.3500,263.8400,1.799990
FILLER_93_6,VPWR,li1,8.9700,263.8400,1.799990
FILLER_93_3,VPWR,li1,7.5900,263.8400,1.799990
FILLER_92_550,VPWR,li1,259.2100,263.8400,1.799988
FILLER_92_547,VPWR,li1,257.8300,263.8400,1.799988
FILLER_92_544,VPWR,li1,256.4500,263.8400,1.799988
FILLER_92_541,VPWR,li1,255.0700,263.8400,1.799988
FILLER_92_538,VPWR,li1,253.6900,263.8400,1.799988
FILLER_92_530,VPWR,li1,249.7800,263.8400,1.799988
FILLER_92_527,VPWR,li1,248.6300,263.8400,1.799988
FILLER_92_524,VPWR,li1,247.2500,263.8400,1.799988
FILLER_92_521,VPWR,li1,245.8700,263.8400,1.799988
FILLER_92_518,VPWR,li1,244.4900,263.8400,1.799988
FILLER_92_515,VPWR,li1,243.1100,263.8400,1.799988
FILLER_92_512,VPWR,li1,241.7300,263.8400,1.799988
FILLER_92_509,VPWR,li1,240.3500,263.8400,1.799988
FILLER_92_498,VPWR,li1,234.8300,263.8400,1.799988
FILLER_92_495,VPWR,li1,233.9100,263.8400,1.799988
FILLER_92_492,VPWR,li1,232.5300,263.8400,1.799988
FILLER_92_489,VPWR,li1,231.1500,263.8400,1.799988
FILLER_92_486,VPWR,li1,229.7700,263.8400,1.799988
FILLER_92_483,VPWR,li1,228.3900,263.8400,1.799989
FILLER_92_480,VPWR,li1,227.0100,263.8400,1.799989
FILLER_92_477,VPWR,li1,225.6300,263.8400,1.799989
